party_name,un_share
China,20.004
Brazil,1.411
Mexico,1.137
India,1.106
Türkiye,0.685
Indonesia,0.579
Argentina,0.49
Singapore,0.479
Iran (Islamic Republic of),0.386
Thailand,0.341
Malaysia,0.326
South Africa,0.251
Philippines,0.198
Colombia,0.197
Egypt,0.182
Viet Nam,0.159
Nigeria,0.15
Peru,0.145
Kazakhstan,0.131
Iraq,0.131
Pakistan,0.123
Cuba,0.122
Algeria,0.087
Ukraine,0.074
Venezuela (Bolivarian Republic of),0.069
Dominican Republic,0.069
Ecuador,0.065
Morocco,0.059
Guatemala,0.046
Belarus,0.043
Libya,0.04
Serbia,0.04
Sri Lanka,0.038
Kenya,0.037
Turkmenistan,0.036
Azerbaijan,0.034
Trinidad and Tobago,0.033
Ghana,0.025
Uzbekistan,0.024
Côte d’Ivoire,0.024
Paraguay,0.023
Lebanon,0.022
Jordan,0.021
Bolivia (Plurinational State of),0.018
Tunisia,0.018
Bahamas,0.015
Cameroon,0.014
Bosnia and Herzegovina,0.014
El Salvador,0.013
Botswana,0.013
Guyana,0.011
Gabon,0.011
Nepal,0.01
Uganda,0.01
Ethiopia,0.01
Honduras,0.01
Myanmar,0.01
Bangladesh,0.01
Mauritius,0.01
Democratic Republic of the Congo,0.01
Angola,0.01
United Republic of Tanzania,0.01
Albania,0.01
Georgia,0.009
Papua New Guinea,0.009
Equatorial Guinea,0.008
Cambodia,0.008
North Macedonia,0.008
Sudan,0.008
Namibia,0.007
Jamaica,0.007
Senegal,0.007
Armenia,0.007
Zimbabwe,0.007
Barbados,0.007
Zambia,0.006
Syrian Arab Republic,0.006
Lao People's Democratic Republic,0.006
Haiti,0.006
Republic of Moldova,0.006
Afghanistan,0.005
Democratic People's Republic of Korea,0.005
Congo,0.005
Mali,0.005
Chad,0.005
Benin,0.005
Burkina Faso,0.005
South Sudan,0.005
Maldives,0.004
Guinea,0.004
Montenegro,0.004
Niger,0.004
Nicaragua,0.004
Mongolia,0.004
Madagascar,0.004
Malawi,0.003
Mauritania,0.003
Fiji,0.003
Kyrgyzstan,0.003
Tajikistan,0.003
Rwanda,0.003
Yemen,0.003
Suriname,0.002
Seychelles,0.002
Antigua and Barbuda,0.002
Togo,0.002
Djibouti,0.002
Eswatini,0.002
Somalia,0.002
Mozambique,0.002
Saint Lucia,0.002
Samoa,0.001
Tuvalu,0.001
Tonga,0.001
Eritrea,0.001
Gambia,0.001
Sao Tome and Principe,0.001
Cabo Verde,0.001
Nauru,0.001
Saint Vincent and the Grenadines,0.001
Lesotho,0.001
Palau,0.001
Solomon Islands,0.001
Micronesia (Federated States of),0.001
Marshall Islands,0.001
Bhutan,0.001
Comoros,0.001
Belize,0.001
Saint Kitts and Nevis,0.001
Burundi,0.001
Grenada,0.001
Dominica,0.001
Sierra Leone,0.001
Central African Republic,0.001
Timor-Leste,0.001
Liberia,0.001
Guinea-Bissau,0.001
Vanuatu,0.001
Kiribati,0.001
State of Palestine,0.0
Cook Islands,0.0
Niue,0.0
