Country,Band,$50m Total,$50m IPLC,$50m State,$200m Total,$200m IPLC,$200m State,$500m Total,$500m IPLC,$500m State,$1bn Total,$1bn IPLC,$1bn State
Australia,Band 5: 1.0% - 10.0%,0.2,0.1,0.1,0.82,0.41,0.41,2.04,1.02,1.02,4.08,2.04,2.04
Canada,Band 5: 1.0% - 10.0%,0.2,0.1,0.1,0.82,0.41,0.41,2.04,1.02,1.02,4.08,2.04,2.04
Denmark,Band 4: 0.1% - 1.0%,0.26,0.13,0.13,1.03,0.52,0.52,2.59,1.29,1.29,5.17,2.59,2.59
Finland,Band 4: 0.1% - 1.0%,0.26,0.13,0.13,1.03,0.52,0.52,2.59,1.29,1.29,5.17,2.59,2.59
Japan,Band 5: 1.0% - 10.0%,0.2,0.1,0.1,0.82,0.41,0.41,2.04,1.02,1.02,4.08,2.04,2.04
New Zealand,Band 4: 0.1% - 1.0%,0.26,0.13,0.13,1.03,0.52,0.52,2.59,1.29,1.29,5.17,2.59,2.59
Norway,Band 4: 0.1% - 1.0%,0.26,0.13,0.13,1.03,0.52,0.52,2.59,1.29,1.29,5.17,2.59,2.59
Russian Federation,Band 5: 1.0% - 10.0%,0.2,0.1,0.1,0.82,0.41,0.41,2.04,1.02,1.02,4.08,2.04,2.04
Sweden,Band 4: 0.1% - 1.0%,0.26,0.13,0.13,1.03,0.52,0.52,2.59,1.29,1.29,5.17,2.59,2.59
Total,,2.11,1.05,1.05,8.44,4.22,4.22,21.09,10.55,10.55,42.19,21.09,21.09
