party,Countries (number),total_allocation,state_component,iplc_component,WB Income Group,UN LDC,EU
Belize,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Cabo Verde,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Comoros,1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Non-EU
Cook Islands,1,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Non-EU
Dominica,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Grenada,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Guinea-Bissau,1,8.525149190110827,4.262574595055414,4.262574595055414,Low income,LDC,Non-EU
Kiribati,1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Non-EU
Marshall Islands,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Micronesia (Federated States of),1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Non-EU
Nauru,1,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Non-EU
Niue,1,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Non-EU
Palau,1,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Non-EU
Saint Kitts and Nevis,1,8.525149190110827,4.262574595055414,4.262574595055414,High income,-,Non-EU
Saint Vincent and the Grenadines,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Samoa,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Sao Tome and Principe,1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Non-EU
Solomon Islands,1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Non-EU
Timor-Leste,1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,LDC,Non-EU
Tonga,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,-,Non-EU
Tuvalu,1,8.525149190110827,4.262574595055414,4.262574595055414,Upper middle income,LDC,Non-EU
Vanuatu,1,8.525149190110827,4.262574595055414,4.262574595055414,Lower middle income,-,Non-EU
Antigua and Barbuda,1,7.388462631429383,3.6942313157146915,3.6942313157146915,High income,-,Non-EU
Barbados,1,7.388462631429383,3.6942313157146915,3.6942313157146915,High income,-,Non-EU
Fiji,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Non-EU
Haiti,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,LDC,Non-EU
Jamaica,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Non-EU
Maldives,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Non-EU
Mauritius,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Non-EU
Papua New Guinea,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Lower middle income,-,Non-EU
Saint Lucia,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Non-EU
Seychelles,1,7.388462631429383,3.6942313157146915,3.6942313157146915,High income,-,Non-EU
Suriname,1,7.388462631429383,3.6942313157146915,3.6942313157146915,Upper middle income,-,Non-EU
Bahamas,1,6.2517760727479414,3.1258880363739707,3.1258880363739707,High income,-,Non-EU
Dominican Republic,1,6.2517760727479414,3.1258880363739707,3.1258880363739707,Upper middle income,-,Non-EU
Guyana,1,6.2517760727479414,3.1258880363739707,3.1258880363739707,High income,-,Non-EU
Trinidad and Tobago,1,6.2517760727479414,3.1258880363739707,3.1258880363739707,High income,-,Non-EU
Cuba,1,5.399261153736858,2.699630576868429,2.699630576868429,Upper middle income,-,Non-EU
Singapore,1,5.399261153736858,2.699630576868429,2.699630576868429,High income,-,Non-EU
Total,39,304.6319977266268,152.3159988633134,152.3159988633134,,,
