intermediate_region,Countries (number),total_allocation,state_component,iplc_component
Not Categorized,65,449.2753623188406,224.6376811594203,224.6376811594203
Eastern Africa,18,135.2657004830918,67.6328502415459,67.6328502415459
Western Africa,16,119.63626030122194,59.81813015061097,59.81813015061097
Caribbean,13,95.19749928957091,47.59874964478546,47.59874964478546
Middle Africa,9,66.49616368286445,33.248081841432224,33.248081841432224
South America,10,59.10770105143508,29.55385052571754,29.55385052571754
Central America,6,40.06820119352089,20.034100596760446,20.034100596760446
Southern Africa,5,34.953111679454395,17.476555839727197,17.476555839727197
Total,142,1000,500,500
