sub_region,Countries (number),total_allocation,state_component,iplc_component
Sub-Saharan Africa,48,356.3512361466326,178.1756180733163,178.1756180733163
Latin America and the Caribbean,29,194.37340153452686,97.18670076726343,97.18670076726343
Western Asia,10,67.6328502415459,33.81642512077295,33.81642512077295
South-eastern Asia,10,63.08610400682012,31.54305200341006,31.54305200341006
Southern Asia,9,59.39187269110543,29.695936345552717,29.695936345552717
Micronesia,5,42.62574595055413,21.312872975277067,21.312872975277067
Polynesia,5,42.62574595055413,21.312872975277067,21.312872975277067
Northern Africa,6,37.794828076158005,18.897414038079003,18.897414038079003
Southern Europe,5,34.66894003978403,17.334470019892017,17.334470019892017
Central Asia,5,32.67973856209151,16.339869281045754,16.339869281045754
Melanesia,4,31.827223643080423,15.913611821540211,15.913611821540211
Eastern Europe,3,19.892014776925265,9.946007388462633,9.946007388462633
Eastern Asia,3,17.050298380221655,8.525149190110827,8.525149190110827
Total,142,1000.0000000000001,500.00000000000006,500.00000000000006
